date,経済成長率,失業率,雇用コスト指数の伸び率,平均時給の伸び率,インフレ期待,消費者物価の上昇率,消費者物価の上昇率（食品・エネルギー除く）,卸売り物価（PPI）の上昇率,個人消費の伸び,新車販売台数(百万台),小売り在庫／販売の比率,住宅価格の上昇率（前年同月比）,新規住宅着工件数
2012/06/01,-0.08388397107610726,-0.8828584234115436,-0.06830014978710697,0.1609356608250427,0.36661360909456386,-0.3024974084695121,0.15743919619088056,-0.7100282311832145,-0.21369938664147195,-0.659485750115895,-0.07970256786501759,-0.7624697923121558,-1.045759835422574
2012/07/01,-0.2445464474430515,-0.8828584234115436,-1.0574417116902202,-0.05398492181245828,0.38316655846615744,-0.45326896409890066,0.19046049089071232,-0.7370312288940917,-0.019665587727742816,-0.6995683483499947,-0.16773226968608007,-0.6763771854276337,-0.8884533147377279
2012/08/01,-0.2445464474430515,-0.8378487621421988,-1.0574417116902202,-0.7979570952199379,0.7752195658650928,-0.28204373315728465,0.048638229229470684,-0.45739369275103126,-0.14902145367022893,-0.670082299074335,0.008327133956044893,-0.5560834564976566,-0.9141943817588846
2012/09/01,-0.2445464474430515,-0.7028197783341639,-1.0574417116902202,0.26396760475074577,1.2746300029126278,-0.11377924903657781,0.12457269152470285,-0.37297268264511524,-0.08434352069898586,-0.3683110135187562,0.008327133956044893,-0.39537718202489397,-0.6567837115473186
2012/10/01,-0.28836348645221815,-0.7028197783341639,-1.3859061149056893,-0.6915667675388474,1.4439347306957677,0.0176017807806391,0.10424781241183077,-0.2513180395090542,-0.14902145367022893,-0.4922445643805132,0.008327133956044893,-0.2177462072604242,-0.779768809537289
2012/11/01,-0.28836348645221815,-0.657810117064819,-1.3859061149056893,0.15554810119513,1.2461959563276075,-0.21182149943727355,0.0867413755035755,-0.393735283734156,0.10969027821474328,-0.20383414490296758,0.008327133956044893,0.010739382924438856,-0.6939652528001004
2012/12/01,-0.28836348645221815,-0.7478294396035091,-1.3859061149056893,0.4700960599508583,1.3910342633290504,-0.2351139589202631,-0.049499757750350745,-0.30036182121207955,-0.14902145367022893,-0.2010698277833744,0.008327133956044893,0.20060678302089593,-0.6253224074103494
2013/01/01,0.16441258330917022,-0.7928391008728539,0.22750643160234335,-0.27030766887077357,1.5266994775537344,-0.28323860319527117,-0.11494340448918071,-0.29377510725600814,0.10969027821474328,-0.03935727628717815,-0.07970256786501759,0.394653314194315,-0.6281825259682557
2013/02/01,0.16441258330917022,-0.657810117064819,0.22750643160234335,-0.4807131180929086,1.6176680984423586,-0.07013236958240764,0.007814411190372673,-0.2304385166415922,-0.14902145367022893,-0.017242739330433403,0.09635683577710738,0.5276571334185874,-0.5137777836520042
2013/03/01,0.16441258330917022,-0.5677907945261289,0.22750643160234335,-0.1658790092619578,1.5822208285709523,-0.3886914559414946,-0.065022986839666,-0.43618917479749914,-0.14902145367022893,-0.08174347212093913,0.008327133956044893,0.6260631768790823,-0.6396230001998808
2013/04/01,-0.2591521271127737,-0.6128004557954737,-0.1110245213222226,0.042981876647215936,1.202349450662625,-0.6310517252858234,-0.32480267774901533,-0.43622359144174727,-0.14902145367022893,-0.04027871532704282,-0.16773226968608007,0.6469563743379705,-0.42225398979900297
2013/05/01,-0.2591521271127737,-0.5677907945261289,-0.1110245213222226,-0.3766772904984997,0.8310366999862013,-0.47057029372726455,-0.36845172980032903,-0.26617607636095547,0.045012345243500215,-0.006646190371993362,-0.07970256786501759,0.6570383944487822,-0.44799505682015955
2013/06/01,-0.2591521271127737,-0.5677907945261289,-0.1110245213222226,0.24974099402523958,0.15121835539670445,-0.26299715599274587,-0.41769723131330944,-0.09974015320380747,-0.14902145367022893,0.1154444824100351,-0.16773226968608007,0.6882237722770281,-0.6224622888524431
2013/07/01,0.12059554430000362,-0.47777147198743875,-1.0815655900022512,-0.48163304953109837,0.3649206938179233,-0.15476069626685915,-0.4315018171820215,-0.11453218773193925,-0.08434352069898586,0.056472383858715766,-0.07970256786501759,0.7659399785687595,-0.4651557681675973
2013/08/01,0.12059554430000362,-0.4327618107180939,-1.0815655900022512,-0.06551538617809644,0.5453102216288109,-0.3758939036372662,-0.35830634873739786,-0.3162295826415137,-0.08434352069898586,-0.032907203008127904,-0.16773226968608007,0.8427898855165286,-0.5595396805785048
